#{"t_start": 1747140063.5883043, "env_id": "None"}
r,l,t
794.395737,10,2297.52671
828.697594,10,2301.761517
737.937225,10,2304.486831
958.293701,10,2307.626576
483.393723,10,2310.801543
620.951599,10,2314.974413
831.726479,10,2319.322793
671.409317,10,2322.679219
1519.665405,10,2325.243793
1720.571846,10,2327.786765
1021.349197,10,2331.205154
856.026337,10,2334.056595
950.61425,10,2336.64356
1486.868225,10,2339.311303
933.736481,10,2343.371907
1515.78405,10,2345.681842
1122.663956,10,2348.883643
1037.820648,10,2352.837787
1202.460617,10,2356.371527
898.859825,10,2359.144587
940.197594,10,2362.550194
837.617645,10,2367.22161
551.552666,10,2370.197171
1225.514008,10,2373.609423
795.543999,10,2376.712936
1146.772034,10,2379.605388
1333.812386,10,2384.595364
1598.5896,10,2386.813446
351.926079,10,2389.951262
969.652596,10,2393.191897
1137.750961,10,2396.344184
1329.44664,10,2399.107485
1330.103394,10,2401.951995
1014.356239,10,2405.514472
1581.866409,10,2407.840749
357.093658,10,2410.66376
569.312035,10,2415.447125
950.194138,10,2418.442856
578.586937,10,2419.78639
948.448463,10,2422.389044
1102.288055,10,2427.138948
400.173569,10,2427.492091
400.173569,10,2427.614844
400.173569,10,2427.724395
400.173569,10,2427.851304
400.173569,10,2427.97976
999.562157,10,2430.42053
804.180603,10,2434.010538
784.047409,10,2438.375369
896.187599,10,2441.391637
778.232498,10,2445.751431
856.641571,10,2449.958836
1020.209793,10,2452.680337
560.246414,10,2455.437877
456.797829,10,2458.716304
415.768196,10,2461.707641
702.772865,10,2464.315333
400.474319,10,2468.155058
1120.459869,10,2472.351602
888.196289,10,2475.099849
1077.676102,10,2477.883045
751.559052,10,2481.345159
802.388443,10,2483.795408
1020.402588,10,2486.605888
821.380348,10,2490.131907
1663.914932,10,2492.933439
1179.491661,10,2496.258579
790.932434,10,2500.707516
796.274269,10,2503.437412
687.784569,10,2506.810522
430.199867,10,2509.596527
641.052315,10,2512.030825
933.1978,10,2515.390059
869.028976,10,2519.055697
853.722122,10,2521.092342
714.977325,10,2524.491856
1019.999695,10,2528.534451
857.953453,10,2531.032662
963.748772,10,2535.068078
842.010498,10,2538.172143
756.035126,10,2540.762861
974.880936,10,2543.48565
812.085388,10,2546.876679
999.504684,10,2550.266634
868.980812,10,2554.696394
1190.593941,10,2557.999869
1018.597885,10,2561.722079
575.252342,10,2565.193229
1115.678429,10,2567.889418
592.315376,10,2571.848166
899.622772,10,2574.941983
798.282333,10,2579.263573
635.587563,10,2582.932082
1086.770828,10,2585.527519
825.638008,10,2589.006788
546.099892,10,2591.47163
513.466583,10,2594.849545
508.483139,10,2599.523257
470.410721,10,2601.32082
381.179855,10,2605.909443
915.91243,10,2608.297565
1293.508804,10,2611.666286
838.471336,10,2614.153528
744.167755,10,2617.833785
1307.193787,10,2621.309781
1091.731506,10,2625.060023
