#{"t_start": 1746954317.2411087, "env_id": "None"}
r,l,t
0.0,10,28520.705332
0.0,10,28521.006813
0.0,10,28521.594557
0.0,10,28522.016531
0.0,10,28522.346445
0.0,10,28522.778209
0.0,10,28523.112101
0.0,10,28523.426495
0.0,10,28523.821856
0.0,10,28524.231601
0.0,10,28524.856717
0.0,10,28525.234355
0.0,10,28525.541075
0.0,10,28525.919894
0.0,10,28526.27998
0.0,10,28527.177607
0.0,10,28527.49687
0.0,10,28527.845484
0.0,10,28528.288901
0.0,10,28528.660759
0.0,10,28528.968659
0.0,10,28529.361089
0.0,10,28529.689605
0.0,10,28530.035639
0.0,10,28530.573809
0.0,10,28530.909125
0.0,10,28531.31064
